Aluminium (Aluminum)		Al	
Americium			Am	
Antimony (Stibium)		Sb	
Argon				Ar	
Arsenic				As	
Astatine			At	
Barium				Ba	
Berkelium			Bk	
Beryllium			Be	
Bismuth				Bi	
Bohrium				Bh	
Boron				B	
Bromine				Br	
Cadmium				Cd	
Caesium (Cesium)		Cs	
Calcium				Ca	
Californium			Cf	
Carbon				C	
Cerium				Ce	
Chlorine			Cl	
Chromium			Cr	
Cobalt				Co	
Copper (Cuprum)			Cu	
Curium				Cm	
Darmstadtium			Ds	
Dubnium				Db	
Dysprosium			Dy	
Einsteinium			Es	
Erbium				Er	
Europium			Eu	
Fermium				Fm	
Fluorine			F	
Francium			Fr	
Gadolinium			Gd	
Gallium				Ga	
Germanium			Ge	
Gold (Aurum)			Au	
Hafnium				Hf	
Hassium				Hs	
Helium				He	
Holmium				Ho	
Hydrogen			H	
Indium				In	
Iodine				I	
Iridium				Ir	
Iron (Ferrum)			Fe	
Krypton				Kr	
Lanthanum			La	
Lawrencium			Lr	
Lead (Plumbum)			Pb	
Lithium				Li	
Lutetium			Lu	
Magnesium			Mg	
Manganese			Mn	
Meitnerium			Mt	
Mendelevium			Md	
Mercury (Hydrargyrum)		Hg	
Molybdenum			Mo	
Neodymium			Nd	
Neon				Ne	
Neptunium			Np	
Nickel				Ni	
Niobium				Nb	
Nitrogen			N	
Nobelium			No	
Osmium				Os	
Oxygen				O	
Palladium			Pd	
Phosphorus			P	
Platinum			Pt	
Plutonium			Pu	
Polonium			Po	
Potassium (Kalium)		K	
Praseodymium			Pr	
Promethium			Pm	
Protactinium			Pa	
Radium				Ra	
Radon				Rn	
Rhenium				Re	
Rhodium				Rh	
Roentgenium			Rg	
Rubidium			Rb	
Ruthenium			Ru	
Rutherfordium			Rf	
Samarium			Sm	
Scandium			Sc	
Seaborgium			Sg	
Selenium			Se	
Silicon				Si	
Silver (Argentum)		Ag	
Sodium (Natrium)		Na	
Strontium			Sr	
Sulfur (Sulphur)		S	
Tantalum			Ta	
Technetium			Tc	
Tellurium			Te	
Terbium				Tb	
Thallium			Tl	
Thorium				Th	
Thulium				Tm	
Tin (Stannum)			Sn	
Titanium			Ti	
Tungsten (Wolfram)		W	
Ununbium			Uub	
Ununhexium			Uuh                    
                          
